Observatory & Babcock,Steenbock Memorial Library,Department of Soil Science,,,
Linden & Babcock,Russel Laboratories,Plant Sciences,,,
Observatory & Charter,Waters Residence Hall,Department of Economics,,,
Linden & Henry,School of Human Ecology,,,,
Linden & Charter,Van Hise Hall,,,,
Observatory & Park,The Wisconsin Union,Memorial Library,,,
Park & University,Buisness Learning Commons,Wisconsin School of Buisness,Rheta's Market,UW School of Journalism & Mass Communication,Chadbourne Residence Hall
Charter & University,Badger Market,Physics Museum,Slow Food UW,,
Randall & University,QQ Express,,,,
Orchard & University,Wisconsin Institute for Discovery,,,,
Mills & University,Chemisty Building,,,,
Brooks & University,X01 Apartments,Bernard Hall,Lanthrop Hall,,
Henry & University,Biochemical Sciences Building,,,,
Johnson & Randall,Subway,Library Cafe & Bar,,,
Randall & Dayton,Vantage Point,,,,
Johnson & Orchard,Union South,,,,
Orchard & Dayton,Department of Computer Sciences,,,,
Johnson & Charter,Saigon Sandwiches,,,,
Mills & Johnson,Grand Central,,,,
Charter & Dayton,University of Wisconsin Geology Museum,,,,
Mills & Dayton,,,,,
Conklin & Mills,Luther Memorial Church,,,,
Clymer & Mills,Noland Zoology Building,,,,
Brooks & Johnson,Porchlight,,,,
Brooks & Dayton,Dayton House,Brooks House,,,
Brooks & Conklin,American Indian Studies,,,,
Clymer & Brooks,,,,,
Johnson & Park,,,,,
Bernard & Dayton,Merit Residence Hall,,,,
Clymer & Bernard,,,,,
Park & Clymer,Sellery Residence Hall,,,,
Park & Dayton,Ogg Residence Hall,,,,
Capital & Orchard,Wisconsin Primate Center,Islamic Center of Madison,,,
Capital & Charter,UW Madison Fleet Office,,,,
Spring & Orchard,Randall Park Rentals,,,,
Spring & Charter,Humbucker Apartments,,,,
College & Mills,,,,,
College & Brooks,Budget Bicycle Center,,,,
Fahrenbrook & Mills,,,,,
Fahrenbrook & Brooks,,,,,
Spring & Brooks,,,,,
Spring & Mills,Landmark Credit Union,Campus Village Apartments,,,
Capital & Coyne,Harlow Primate Laboratory,,,,
Regent & Orchard,Wingstop,,,,
Regent & Charter,,,,,
Regent & Mills,McDonald's,Hong Kong Cafe,,,
Regent & Brooks,,,,,
Regent & Park,Asian Noodle,QDOBA Mexican Eats,Sweet Home Wisconsin,,
Fahrenbrook & Park,College Park Apartments,,,,
Spring & Park,Madison B-cycle Station,Starbucks,Smith Residence Hall,,
Regent & Randall,The UPS Store,Toppers Pizza,,,
Spring & Randall,UW Credit Union,Park Terrace West Apartments,,,
College & Park,UW Madison Continuing Studies,,,,
Regent & Coyne,The Red Zone Madison,,,,
